 time[s]              longitude[deg]       latitude[deg]        azimuth[deg]
 7.3999935005135E+03  8.9999980902526E+01 -2.2105358453079E+01  4.5000584059691E+01
 7.3999950005135E+03  8.9999980902526E+01  6.7893473410223E+01  4.5000584059691E+01
 7.3999965005135E+03  8.9999980902526E+01  1.5789230527353E+02  4.5000584059691E+01
 7.3999980005135E+03  8.9999980902526E+01 -1.1210886286317E+02  4.5000584059691E+01
 7.3999995005135E+03  8.9999980902526E+01 -2.2110030999869E+01  4.5000584059691E+01
 7.4000010005135E+03  8.9999980902526E+01  6.7888800863433E+01  4.5000584059691E+01
 7.4000025005135E+03  8.9999980902526E+01  1.5788763272674E+02  4.5000584059691E+01
 7.4000040005135E+03  8.9999980902526E+01 -1.1211353540996E+02  4.5000584059691E+01
 7.4000055005135E+03  8.9999980902526E+01 -2.2114703546658E+01  4.5000584059691E+01
 7.4000070005135E+03  8.9999980902526E+01  6.7884128316645E+01  4.5000584059691E+01
 7.4000085005135E+03  8.9999980902526E+01  1.5788296017995E+02  4.5000584059691E+01
 7.4999910005339E+03  8.9999980902526E+01 -9.9777586055719E+00  4.5000584059666E+01
 7.4999925005339E+03  8.9999980902526E+01  8.0021073288286E+01  4.5000584059666E+01
 7.4999940005339E+03  8.9999980902526E+01  1.7001990518214E+02  4.5000584059666E+01
 7.4999955005339E+03  8.9999980902526E+01 -9.9981262923998E+01  4.5000584059666E+01
 7.4999970005339E+03  8.9999980902526E+01 -9.9824310301406E+00  4.5000584059666E+01
 7.4999985005339E+03  8.9999980902526E+01  8.0016400863717E+01  4.5000584059666E+01
 7.5000000005339E+03  8.9999980902526E+01  1.7001523275757E+02  4.5000584059666E+01
 7.5000015005339E+03  8.9999980902526E+01 -9.9985935348568E+01  4.5000584059666E+01
 7.5000030005339E+03  8.9999980902526E+01 -9.9871034547102E+00  4.5000584059666E+01
 7.5000045005339E+03  8.9999980902526E+01  8.0011728439147E+01  4.5000584059666E+01
 7.5000060005339E+03  8.9999980902526E+01  1.7001056033300E+02  4.5000584059666E+01
 7.5000075005339E+03  8.9999980902526E+01 -9.9990607773138E+01  4.5000584059666E+01
 7.5000090005339E+03  8.9999980902526E+01 -9.9917758792809E+00  4.5000584059666E+01
 7.5999900005542E+03  8.9999980902526E+01  9.2148166305026E+01  4.5000584059658E+01
 7.5999915005542E+03  8.9999980902526E+01 -1.7785300181540E+02  4.5000584059658E+01
 7.5999930005542E+03  8.9999980902526E+01 -8.7854169935834E+01  4.5000584059658E+01
 7.5999945005542E+03  8.9999980902526E+01  2.1446619437362E+00  4.5000584059658E+01
 7.5999960005542E+03  8.9999980902526E+01  9.2143493823306E+01  4.5000584059658E+01
 7.5999975005542E+03  8.9999980902526E+01 -1.7785767429712E+02  4.5000584059658E+01
 7.5999990005542E+03  8.9999980902526E+01 -8.7858842417553E+01  4.5000584059658E+01
 7.6000005005542E+03  8.9999980902526E+01  2.1399894620170E+00  4.5000584059658E+01
 7.6000020005542E+03  8.9999980902526E+01  9.2138821341587E+01  4.5000584059658E+01
 7.6000035005542E+03  8.9999980902526E+01 -1.7786234677884E+02  4.5000584059658E+01
 7.6000050005542E+03  8.9999980902526E+01 -8.7863514899272E+01  4.5000584059658E+01
 7.6000065005542E+03  8.9999980902526E+01  2.1353169802985E+00  4.5000584059658E+01
 7.6000080005542E+03  8.9999980902526E+01  9.2134148859869E+01  4.5000584059658E+01
 7.6000095005542E+03  8.9999980902526E+01 -1.7786701926056E+02  4.5000584059658E+01
 7.6999905005746E+03  8.9999980902526E+01 -7.5726215307503E+01  4.5000584059699E+01
 7.6999920005746E+03  8.9999980902526E+01  1.4272616570644E+01  4.5000584059699E+01
 7.6999935005746E+03  8.9999980902526E+01  1.0427144844879E+02  4.5000584059699E+01
 7.6999950005746E+03  8.9999980902526E+01 -1.6572971967306E+02  4.5000584059699E+01
 7.6999965005746E+03  8.9999980902526E+01 -7.5730887794914E+01  4.5000584059699E+01
 7.6999980005746E+03  8.9999980902526E+01  1.4267944083233E+01  4.5000584059699E+01
 7.6999995005746E+03  8.9999980902526E+01  1.0426677596138E+02  4.5000584059699E+01
 7.7000010005746E+03  8.9999980902526E+01 -1.6573439216047E+02  4.5000584059699E+01
 7.7000025005746E+03  8.9999980902526E+01 -7.5735560282325E+01  4.5000584059699E+01
 7.7000040005746E+03  8.9999980902526E+01  1.4263271595822E+01  4.5000584059699E+01
 7.7000055005746E+03  8.9999980902526E+01  1.0426210347397E+02  4.5000584059699E+01
 7.7000070005746E+03  8.9999980902526E+01 -1.6573906464788E+02  4.5000584059699E+01
 7.7000085005746E+03  8.9999980902526E+01 -7.5740232769736E+01  4.5000584059699E+01
 7.7999910005950E+03  8.9999980902526E+01  1.1639932291695E+02  4.5000584059660E+01
 7.7999925005950E+03  8.9999980902526E+01 -1.5360184520347E+02  4.5000584059660E+01
 7.7999940005950E+03  8.9999980902526E+01 -6.3603013323889E+01  4.5000584059660E+01
 7.7999955005950E+03  8.9999980902526E+01  2.6395818555692E+01  4.5000584059660E+01
 7.7999970005950E+03  8.9999980902526E+01  1.1639465043527E+02  4.5000584059660E+01
 7.7999985005950E+03  8.9999980902526E+01 -1.5360651768515E+02  4.5000584059660E+01
 7.8000000005950E+03  8.9999980902526E+01 -6.3607685805565E+01  4.5000584059660E+01
 7.8000015005950E+03  8.9999980902526E+01  2.6391146074016E+01  4.5000584059660E+01
 7.8000030005950E+03  8.9999980902526E+01  1.1638997795360E+02  4.5000584059660E+01
 7.8000045005950E+03  8.9999980902526E+01 -1.5361119016682E+02  4.5000584059660E+01
 7.8000060005950E+03  8.9999980902526E+01 -6.3612358287241E+01  4.5000584059660E+01
 7.8000075005950E+03  8.9999980902526E+01  2.6386473592340E+01  4.5000584059660E+01
 7.8000090005950E+03  8.9999980902526E+01  1.1638530547192E+02  4.5000584059660E+01
 7.8999900006154E+03  8.9999980902526E+01 -1.4147396144721E+02  4.5000584059622E+01
 7.8999915006154E+03  8.9999980902526E+01 -5.1475129568725E+01  4.5000584059622E+01
 7.8999930006154E+03  8.9999980902526E+01  3.8523702309755E+01  4.5000584059622E+01
